Sample in Buffer,Sample in Window,TRIGGER,u_top/u_uart/uart_baud[31:0],u_top/u_uart/uart_status[31:0],u_top/u_uart/tx_data[7:0],u_top/u_uart/uart_ctrl[31:0],u_top/u_uart/state[3:0],u_top/u_uart/uart_rx[31:0],u_top/u_uart_debug/mem_addr_o[31:0],u_top/u_uart_debug/state[13:0],u_top/u_uart_debug/mem_wdata_o[31:0],u_ila_0_m1_rdata[31:0],u_top/m0_rdata[31:0],u_top/m0_addr[31:0],u_top/m1_size[2:0],u_top/m1_addr[27:0],u_ila_0_m1_addr[31:28],u_top/m1_wdata[31:0],debug_en_r[7:0],timer_cnt[31:0],debug_en_w,u_ila_0_m1_rd,u_top/m1_we,u_top/u_uart_debug/mem_rd_o,u_top/u_uart_debug/mem_we_o,u_top/u_uart/rx_done,u_top/u_uart/rx_start
0,0,0,000000ad,00000000,00,00000003,1,00000000,30000004,0010,00000000,00000000,00000000,90000000,4,0000004,3,00000000,ff,18863929,1,1,0,1,0,0,0
1,1,0,000000ad,00000000,00,00000003,1,00000000,30000004,0010,00000000,00000000,00000000,90000000,4,0000004,3,00000000,ff,18863930,1,1,0,1,0,0,0
2,2,0,000000ad,00000000,00,00000003,1,00000000,30000004,0010,00000000,00000000,00000000,90000000,4,0000004,3,00000000,ff,18863931,1,1,0,1,0,0,0
3,3,0,000000ad,00000000,00,00000003,1,00000000,30000004,0010,00000000,00000000,00000000,90000000,4,0000004,3,00000000,ff,18863932,1,1,0,1,0,0,0
4,4,0,000000ad,00000000,00,00000003,1,00000000,30000004,0010,00000000,00000000,00000000,90000000,4,0000004,3,00000000,ff,18863933,1,1,0,1,0,0,0
5,5,0,000000ad,00000000,00,00000003,1,00000000,30000004,0010,00000000,00000000,00000000,90000000,4,0000004,3,00000000,ff,18863934,1,1,0,1,0,0,0
6,6,0,000000ad,00000000,00,00000003,1,00000000,30000004,0010,00000000,00000000,00000000,90000000,4,0000004,3,00000000,ff,18863935,1,1,0,1,0,0,0
7,7,0,000000ad,00000000,00,00000003,1,00000000,30000004,0010,00000000,00000000,00000000,90000000,4,0000004,3,00000000,ff,18863936,1,1,0,1,0,0,0
8,8,0,000000ad,00000000,00,00000003,1,00000000,30000004,0010,00000000,00000000,00000000,90000000,4,0000004,3,00000000,ff,18863937,1,1,0,1,0,0,0
9,9,0,000000ad,00000000,00,00000003,1,00000000,30000004,0010,00000000,00000000,00000000,90000000,4,0000004,3,00000000,ff,18863938,1,1,0,1,0,0,0
10,10,0,000000ad,00000000,00,00000003,1,00000000,30000004,0010,00000000,00000000,00000000,90000000,4,0000004,3,00000000,ff,18863939,1,1,0,1,0,0,0
11,11,0,000000ad,00000000,00,00000003,1,00000000,30000004,0010,00000000,00000000,00000000,90000000,4,0000004,3,00000000,ff,18863940,1,1,0,1,0,0,0
12,12,0,000000ad,00000000,00,00000003,1,00000000,30000004,0010,00000000,00000000,00000000,90000000,4,0000004,3,00000000,ff,18863941,1,1,0,1,0,0,0
13,13,0,000000ad,00000000,00,00000003,1,00000000,30000004,0010,00000000,00000000,00000000,90000000,4,0000004,3,00000000,ff,18863942,1,1,0,1,0,0,0
14,14,0,000000ad,00000000,00,00000003,1,00000000,30000004,0010,00000000,00000000,00000000,90000000,4,0000004,3,00000000,ff,18863943,1,1,0,1,0,0,0
15,15,0,000000ad,00000000,00,00000003,1,00000000,30000004,0010,00000000,00000000,00000000,90000000,4,0000004,3,00000000,ff,18863944,1,1,0,1,0,0,0
16,16,0,000000ad,00000000,00,00000003,1,00000000,30000004,0010,00000000,00000000,00000000,90000000,4,0000004,3,00000000,ff,18863945,1,1,0,1,0,0,0
17,17,0,000000ad,00000000,00,00000003,1,00000000,30000004,0010,00000000,00000000,00000000,90000000,4,0000004,3,00000000,ff,18863946,1,1,0,1,0,0,0
18,18,0,000000ad,00000000,00,00000003,1,00000000,30000004,0010,00000000,00000000,00000000,90000000,4,0000004,3,00000000,ff,18863947,1,1,0,1,0,0,0
19,19,0,000000ad,00000000,00,00000003,1,00000000,30000004,0010,00000000,00000000,00000000,90000000,4,0000004,3,00000000,ff,18863948,1,1,0,1,0,0,0
20,20,0,000000ad,00000000,00,00000003,1,00000000,30000004,0010,00000000,00000000,00000000,90000000,4,0000004,3,00000000,ff,18863949,1,1,0,1,0,0,0
21,21,0,000000ad,00000000,00,00000003,1,00000000,30000004,0010,00000000,00000000,00000000,90000000,4,0000004,3,00000000,ff,18863950,1,1,0,1,0,0,0
22,22,0,000000ad,00000000,00,00000003,1,00000000,30000004,0010,00000000,00000000,00000000,90000000,4,0000004,3,00000000,ff,18863951,1,1,0,1,0,0,0
23,23,0,000000ad,00000000,00,00000003,1,00000000,30000004,0010,00000000,00000000,00000000,90000000,4,0000004,3,00000000,ff,18863952,1,1,0,1,0,0,0
